,装移机情况,全省,南京,无锡,镇江,苏州,南通,扬州,盐城,徐州,淮安,连云港,常州,泰州,宿迁,月份,年份
3,FTTH昨日竣工数合计,1957,273,277,124,396,80,106,135,126,101,57,152,39,91,6,2011
4,FTTH昨日竣工数合计,2219,303,418,186,386,75,145,142,120,59,62,155,32,136,6,2011
5,FTTH昨日竣工数合计,1922,266,348,115,289,57,182,111,115,53,64,164,45,113,6,2011
6,FTTH昨日竣工数合计,1518,173,226,116,230,55,81,162,116,76,62,98,30,93,6,2011
7,FTTH昨日竣工数合计,1162,203,184,83,179,42,41,115,54,30,79,64,29,59,6,2011
8,FTTH昨日竣工数合计,1827,248,329,151,286,46,156,120,102,63,73,125,47,81,6,2011
9,FTTH昨日竣工数合计,2227,512,386,134,307,77,148,205,102,74,70,95,23,94,6,2011
10,FTTH昨日竣工数合计,2051,298,355,138,341,77,164,147,110,78,88,131,36,88,6,2011
11,FTTH昨日竣工数合计,1840,383,302,117,279,53,133,110,89,72,73,111,28,90,6,2011
12,FTTH昨日竣工数合计,1780,285,338,78,265,71,147,142,115,39,64,131,39,66,6,2011
13,FTTH昨日竣工数合计,1625,252,264,104,270,42,66,137,91,75,85,67,50,122,6,2011
14,FTTH昨日竣工数合计,2038,328,273,145,332,59,189,198,113,65,60,122,51,103,6,2011
15,FTTH昨日竣工数合计,2181,256,363,147,292,79,162,178,164,145,84,121,83,107,6,2011
16,FTTH昨日竣工数合计,2302,399,403,207,289,82,148,184,168,73,70,131,60,88,6,2011
17,FTTH昨日竣工数合计,2402,463,342,152,384,77,158,189,125,75,61,192,82,102,6,2011
18,FTTH昨日竣工数合计,2307,299,359,143,480,82,108,146,174,52,57,212,67,128,6,2011
19,FTTH昨日竣工数合计,1571,191,163,113,271,77,61,164,197,69,49,79,51,86,6,2011
20,FTTH昨日竣工数合计,1749,253,258,100,240,59,70,187,160,97,50,104,82,89,6,2011
21,FTTH昨日竣工数合计,2349,392,395,138,360,61,155,211,193,96,69,104,66,109,6,2011
22,FTTH昨日竣工数合计,2258,377,323,146,341,80,120,247,152,89,87,149,42,105,6,2011
23,FTTH昨日竣工数合计,2314,438,338,111,387,71,149,198,175,92,85,122,45,103,6,2011
24,FTTH昨日竣工数合计,2286,298,420,141,389,106,171,175,87,87,64,152,73,123,6,2011
25,FTTH昨日竣工数合计,2056,294,319,94,434,105,91,128,156,29,161,131,37,77,6,2011
26,FTTH昨日竣工数合计,2266,240,472,72,436,111,42,122,172,93,246,139,31,90,6,2011
27,FTTH昨日竣工数合计,2228,455,292,89,321,200,60,164,186,87,102,134,35,103,6,2011
28,FTTH昨日竣工数合计,2534,482,357,98,410,159,118,128,239,92,95,165,65,126,6,2011
29,FTTH昨日竣工数合计,2894,588,418,140,443,192,130,129,257,108,115,166,87,121,6,2011
30,FTTH昨日竣工数合计,3228,654,447,247,590,127,129,198,228,121,127,212,45,103,6,2011
33,FTTH昨日竣工数合计,2243,363,451,109,339,75,57,102,185,52,117,246,75,72,7,2011
34,FTTH昨日竣工数合计,2159,361,365,112,320,62,62,113,201,105,92,202,56,108,7,2011
35,FTTH昨日竣工数合计,2518,269,474,139,383,81,119,120,221,56,275,191,79,111,7,2011
36,FTTH昨日竣工数合计,2239,296,432,117,382,88,62,104,215,80,152,205,61,45,7,2011
37,FTTH昨日竣工数合计,2327,340,338,116,419,89,70,129,188,77,197,164,83,117,7,2011
38,FTTH昨日竣工数合计,2762,316,588,134,472,156,159,106,193,97,168,168,87,118,7,2011
39,FTTH昨日竣工数合计,2529,317,489,145,365,106,85,135,227,91,143,182,66,178,7,2011
40,FTTH昨日竣工数合计,2403,320,319,119,280,65,158,108,260,91,340,161,63,119,7,2011
41,FTTH昨日竣工数合计,2517,287,500,114,432,104,169,108,188,111,160,144,48,152,7,2011
42,FTTH昨日竣工数合计,2593,405,420,125,400,75,130,193,251,111,121,176,45,141,7,2011
43,FTTH昨日竣工数合计,2821,538,468,131,415,186,128,153,253,139,159,106,54,91,7,2011
44,FTTH昨日竣工数合计,2561,497,300,132,449,107,147,205,224,99,107,108,76,110,7,2011
45,FTTH昨日竣工数合计,2978,354,506,119,503,169,204,194,293,147,121,158,86,124,7,2011
46,FTTH昨日竣工数合计,2524,378,447,136,424,92,127,171,279,50,134,129,56,101,7,2011
47,FTTH昨日竣工数合计,2325,336,367,133,326,98,88,196,296,75,159,104,48,99,7,2011
48,FTTH昨日竣工数合计,2219,306,455,148,399,54,141,117,195,49,80,135,46,94,7,2011
49,FTTH昨日竣工数合计,2357,341,466,124,477,72,143,144,116,55,99,166,67,87,7,2011
50,FTTH昨日竣工数合计,2819,327,497,158,533,138,215,171,197,64,188,174,52,105,7,2011
51,FTTH昨日竣工数合计,3015,396,508,130,452,100,115,157,232,76,474,191,51,133,7,2011
52,FTTH昨日竣工数合计,3078,508,502,140,467,83,187,131,256,97,291,202,76,138,7,2011
53,FTTH昨日竣工数合计,2524,423,531,108,374,72,117,106,248,47,140,156,94,108,7,2011
54,FTTH昨日竣工数合计,2439,390,504,123,307,91,156,122,291,46,116,148,56,89,7,2011
55,FTTH昨日竣工数合计,2500,348,607,154,386,75,150,120,246,57,87,131,72,67,7,2011
56,FTTH昨日竣工数合计,3389,369,680,184,496,90,147,128,247,63,678,142,65,100,7,2011
57,FTTH昨日竣工数合计,2989,412,607,197,552,88,123,124,240,79,114,208,103,142,7,2011
58,FTTH昨日竣工数合计,2851,388,573,156,537,115,131,119,265,58,146,188,64,111,7,2011
59,FTTH昨日竣工数合计,2975,462,554,116,573,87,168,178,246,102,136,191,67,95,7,2011
60,FTTH昨日竣工数合计,3376,526,603,200,495,90,142,142,328,55,122,440,106,127,7,2011
63,FTTH昨日竣工数合计,2470,253,531,111,445,133,165,119,161,52,97,216,97,90,8,2011
64,FTTH昨日竣工数合计,2827,338,558,137,448,108,179,140,297,75,130,193,95,129,8,2011
65,FTTH昨日竣工数合计,2777,274,561,124,495,127,175,122,265,77,133,231,69,124,8,2011
66,FTTH昨日竣工数合计,2764,295,653,117,439,111,113,164,298,79,108,178,99,110,8,2011
67,FTTH昨日竣工数合计,2497,271,607,90,424,98,144,124,190,56,131,212,70,80,8,2011
68,FTTH昨日竣工数合计,2377,279,624,127,313,70,211,124,160,46,92,192,54,85,8,2011
69,FTTH昨日竣工数合计,3161,294,621,121,400,100,152,108,254,83,499,333,84,112,8,2011
70,FTTH昨日竣工数合计,2668,327,552,127,406,97,147,133,265,102,106,212,65,129,8,2011
71,FTTH昨日竣工数合计,3180,324,561,112,389,111,209,106,213,53,702,222,97,81,8,2011
72,FTTH昨日竣工数合计,3006,337,680,113,484,91,207,97,265,59,110,262,152,149,8,2011
73,FTTH昨日竣工数合计,2731,323,550,100,393,80,206,158,254,55,106,268,111,127,8,2011
74,FTTH昨日竣工数合计,2636,261,558,75,388,88,153,128,260,68,160,246,117,134,8,2011
75,FTTH昨日竣工数合计,2111,250,464,70,291,57,126,97,319,46,81,121,66,123,8,2011
76,FTTH昨日竣工数合计,2637,270,567,145,369,99,116,117,256,61,74,333,130,100,8,2011
77,FTTH昨日竣工数合计,2820,325,615,124,459,79,192,104,291,60,98,261,114,98,8,2011
78,FTTH昨日竣工数合计,3100,378,634,118,481,148,224,102,376,66,119,193,139,122,8,2011
79,FTTH昨日竣工数合计,2990,289,659,125,419,102,202,211,260,53,108,296,138,128,8,2011
80,FTTH昨日竣工数合计,3736,377,834,112,491,96,173,129,281,62,470,446,144,121,8,2011
81,FTTH昨日竣工数合计,2968,282,653,117,435,106,116,142,174,39,235,393,137,139,8,2011
82,FTTH昨日竣工数合计,2272,295,405,93,343,133,119,140,171,45,77,253,140,58,8,2011
83,FTTH昨日竣工数合计,2815,346,533,115,384,82,140,137,241,66,88,482,76,125,8,2011
84,FTTH昨日竣工数合计,2914,333,628,153,484,110,113,162,273,56,111,276,87,128,8,2011
85,FTTH昨日竣工数合计,3048,384,659,135,481,116,187,178,253,78,105,216,117,139,8,2011
86,FTTH昨日竣工数合计,2766,462,533,188,348,114,172,185,250,59,93,172,85,105,8,2011
87,FTTH昨日竣工数合计,3048,479,569,142,542,158,144,185,204,43,111,178,183,110,8,2011
88,FTTH昨日竣工数合计,3159,475,619,135,418,303,222,137,241,39,110,235,143,82,8,2011
89,FTTH昨日竣工数合计,3140,446,565,137,402,153,147,182,429,45,197,184,190,63,8,2011
90,FTTH昨日竣工数合计,3084,453,783,220,494,114,160,155,181,47,87,185,133,72,8,2011
91,FTTH昨日竣工数合计,3717,763,737,204,639,120,183,157,239,80,120,290,106,79,8,2011
94,FTTH昨日竣工数合计,3781,673,865,162,484,149,188,184,253,51,122,415,139,96,9,2011
95,FTTH昨日竣工数合计,3344,401,724,139,451,130,175,166,247,65,320,303,144,79,9,2011
96,FTTH昨日竣工数合计,2644,332,598,128,358,140,166,162,249,39,88,172,133,79,9,2011
97,FTTH昨日竣工数合计,3194,512,766,137,424,103,250,149,197,57,95,236,106,162,9,2011
98,FTTH昨日竣工数合计,3588,533,903,159,477,154,197,202,230,73,116,289,136,119,9,2011
99,FTTH昨日竣工数合计,3888,557,907,173,511,150,223,178,239,111,184,389,143,123,9,2011
100,FTTH昨日竣工数合计,4161,564,922,143,556,212,257,265,369,59,114,500,130,70,9,2011
101,FTTH昨日竣工数合计,3811,447,909,129,518,131,275,194,366,107,132,320,160,123,9,2011
102,FTTH昨日竣工数合计,4081,503,842,133,433,152,215,135,224,42,828,358,149,67,9,2011
103,FTTH昨日竣工数合计,2954,463,756,122,362,132,169,157,236,16,60,310,103,68,9,2011
104,FTTH昨日竣工数合计,1714,277,390,48,214,88,36,128,122,4,15,286,74,32,9,2011
105,FTTH昨日竣工数合计,3167,496,827,112,432,163,126,173,157,63,88,295,111,124,9,2011
106,FTTH昨日竣工数合计,3998,484,1035,134,529,138,265,211,194,71,118,497,165,157,9,2011
107,FTTH昨日竣工数合计,4373,444,1090,164,551,187,261,270,235,82,108,656,200,125,9,2011
108,FTTH昨日竣工数合计,4396,604,1145,174,558,146,181,276,315,68,286,387,137,119,9,2011
109,FTTH昨日竣工数合计,3920,591,1111,175,500,118,220,368,174,54,92,349,128,40,9,2011
110,FTTH昨日竣工数合计,3487,517,846,138,403,135,176,212,407,41,88,335,124,65,9,2011
111,FTTH昨日竣工数合计,3575,605,855,148,466,127,195,202,199,45,101,430,89,113,9,2011
112,FTTH昨日竣工数合计,4506,595,1185,155,558,154,206,389,329,54,131,502,150,98,9,2011
113,FTTH昨日竣工数合计,4250,625,960,193,581,212,252,283,278,80,117,453,124,92,9,2011
114,FTTH昨日竣工数合计,4756,581,1309,242,628,257,232,306,394,71,99,349,183,105,9,2011
115,FTTH昨日竣工数合计,4603,625,1201,252,651,185,211,261,355,94,137,375,174,82,9,2011
116,FTTH昨日竣工数合计,4563,747,1111,172,669,309,231,191,343,58,136,329,180,87,9,2011
117,FTTH昨日竣工数合计,3996,642,922,177,537,217,196,193,379,75,136,271,180,71,9,2011
118,FTTH昨日竣工数合计,4282,659,1000,157,590,201,226,185,361,112,120,429,160,82,9,2011
119,FTTH昨日竣工数合计,4763,647,981,193,641,259,245,402,407,71,128,524,177,88,9,2011
120,FTTH昨日竣工数合计,4849,575,979,206,863,344,281,379,326,68,91,467,137,133,9,2011
121,FTTH昨日竣工数合计,5189,610,1075,267,767,438,313,254,491,101,126,420,246,81,9,2011
124,FTTH昨日竣工数合计,2566,248,630,70,257,283,118,259,223,40,106,186,88,58,10,2011
125,FTTH昨日竣工数合计,2944,352,642,92,297,319,105,180,314,49,103,313,86,92,10,2011
126,FTTH昨日竣工数合计,3245,390,777,109,382,301,167,164,277,57,119,288,119,95,10,2011
127,FTTH昨日竣工数合计,3196,463,733,115,354,186,181,180,284,63,151,283,129,74,10,2011
128,FTTH昨日竣工数合计,3189,454,745,85,361,210,207,124,322,43,196,292,98,52,10,2011
129,FTTH昨日竣工数合计,3318,541,710,97,390,121,177,171,308,58,102,436,160,47,10,2011
130,FTTH昨日竣工数合计,3921,580,995,118,512,178,218,171,243,62,138,393,182,131,10,2011
131,FTTH昨日竣工数合计,4612,647,1269,144,606,269,281,227,263,84,167,446,133,76,10,2011
132,FTTH昨日竣工数合计,4834,738,1143,168,557,397,224,359,309,51,160,487,159,82,10,2011
133,FTTH昨日竣工数合计,4912,1004,1077,207,590,208,300,290,311,80,173,435,164,73,10,2011
134,FTTH昨日竣工数合计,4798,609,1239,167,586,524,209,191,199,79,147,566,192,90,10,2011
135,FTTH昨日竣工数合计,4666,769,1281,168,529,194,216,232,297,93,117,524,161,85,10,2011
136,FTTH昨日竣工数合计,4172,664,943,203,483,184,205,140,258,64,126,587,199,116,10,2011
137,FTTH昨日竣工数合计,4124,757,939,147,566,223,204,160,279,98,104,435,145,67,10,2011
138,FTTH昨日竣工数合计,4004,719,985,136,456,215,299,144,217,88,144,402,152,47,10,2011
139,FTTH昨日竣工数合计,4415,629,1061,114,542,185,245,153,330,107,162,659,140,88,10,2011
140,FTTH昨日竣工数合计,4641,633,1201,153,584,243,220,185,284,70,208,573,203,84,10,2011
141,FTTH昨日竣工数合计,5022,726,1216,194,615,228,264,241,408,93,194,547,201,95,10,2011
142,FTTH昨日竣工数合计,4522,597,1124,147,593,247,286,236,269,80,214,420,231,78,10,2011
143,FTTH昨日竣工数合计,4468,595,1151,193,546,217,285,169,306,70,152,460,246,78,10,2011
144,FTTH昨日竣工数合计,4510,684,1014,206,578,243,329,175,365,59,213,377,204,63,10,2011
145,FTTH昨日竣工数合计,3834,744,832,149,464,306,198,110,223,49,173,366,192,28,10,2011
146,FTTH昨日竣工数合计,3785,551,783,141,473,174,267,129,305,73,204,415,196,74,10,2011
147,FTTH昨日竣工数合计,4677,663,1119,178,655,262,284,160,327,87,205,383,269,85,10,2011
148,FTTH昨日竣工数合计,4909,660,1111,207,632,287,287,281,344,61,197,423,311,108,10,2011
149,FTTH昨日竣工数合计,5048,727,1136,187,658,283,311,274,453,90,229,385,195,120,10,2011
150,FTTH昨日竣工数合计,4907,664,1016,225,708,275,285,259,446,77,249,320,299,84,10,2011
151,FTTH昨日竣工数合计,4703,798,838,168,627,361,255,216,416,72,283,363,216,90,10,2011
152,FTTH昨日竣工数合计,4394,734,764,137,572,291,190,292,441,59,295,348,213,58,10,2011
155,FTTH昨日竣工数合计,4657,723,1149,193,606,215,273,254,253,70,133,405,294,89,11,2011
156,FTTH昨日竣工数合计,4836,776,1256,215,607,217,258,250,248,81,122,459,248,99,11,2011
157,FTTH昨日竣工数合计,4611,730,1201,188,593,225,254,196,249,76,102,410,303,84,11,2011
158,FTTH昨日竣工数合计,4306,744,1134,187,501,170,195,126,178,51,87,510,362,61,11,2011
159,FTTH昨日竣工数合计,3861,664,985,162,425,139,196,142,154,53,96,476,327,42,11,2011
160,FTTH昨日竣工数合计,4137,773,1008,131,517,139,252,122,187,59,110,446,291,102,11,2011
161,FTTH昨日竣工数合计,4695,807,1254,201,609,175,215,214,210,66,76,552,230,86,11,2011
162,FTTH昨日竣工数合计,4916,916,1262,233,561,190,286,203,258,69,50,546,213,129,11,2011
163,FTTH昨日竣工数合计,5087,882,1241,233,639,208,297,231,233,90,68,667,245,53,11,2011
164,FTTH昨日竣工数合计,4887,860,1185,200,609,229,227,189,224,87,80,717,216,64,11,2011
165,FTTH昨日竣工数合计,4854,860,1393,217,569,194,248,194,236,66,84,524,200,69,11,2011
166,FTTH昨日竣工数合计,4367,821,1296,174,464,193,242,144,242,35,78,456,163,59,11,2011
167,FTTH昨日竣工数合计,4580,801,1298,151,557,212,194,138,204,60,79,656,160,70,11,2011
168,FTTH昨日竣工数合计,4890,857,1487,219,585,216,279,200,205,75,73,440,176,78,11,2011
169,FTTH昨日竣工数合计,5201,916,1485,236,689,238,210,200,253,52,58,668,133,63,11,2011
170,FTTH昨日竣工数合计,5362,1043,1441,251,649,251,306,207,300,70,85,513,165,81,11,2011
171,FTTH昨日竣工数合计,4988,855,1451,200,659,190,273,189,259,78,64,514,179,77,11,2011
172,FTTH昨日竣工数合计,4931,961,1359,236,590,237,320,158,276,53,65,430,184,62,11,2011
173,FTTH昨日竣工数合计,4752,962,1323,183,494,192,242,113,391,60,61,417,238,76,11,2011
174,FTTH昨日竣工数合计,4975,800,1369,166,556,141,277,256,324,86,58,620,245,77,11,2011
