Lengthspan	Numbers	Percent	
0~100	4001566	94.69	
100~200	165467	3.92	
200~300	19516	0.46	
300~400	9959	0.24	
400~500	5578	0.13	
500~600	3623	0.09	
600~700	2626	0.06	
700~800	1987	0.05	
800~900	1695	0.04	
900~1000	1440	0.03	
1000~1100	1265	0.03	
1100~1200	1115	0.03	
1200~1300	1044	0.02	
1300~1400	914	0.02	
1400~1500	886	0.02	
1500~1600	752	0.02	
1600~1700	697	0.02	
1700~1800	630	0.01	
1800~1900	580	0.01	
1900~2000	516	0.01	
2000~2100	482	0.01	
2100~2200	385	0.01	
2200~2300	368	0.01	
2300~2400	305	0.01	
2400~2500	283	0.01	
2500~2600	248	0.01	
2600~2700	217	0.01	
2700~2800	204	0	
2800~2900	167	0	
2900~3000	145	0	
>3000	1436		0.03
